name,address,city,state,notes
TRATA,145 Culver Rd.,Rochester,NY,
A Time For Karma,14 S. Village Ave.,Rockville Centre,NY,Metaphysical boutique
The Six Bells,435 Main St.,Rosendale,NY,Two varieties
Felice,1382 Old Northern Blvd.,Roslyn,NY,
Lulu Kitchen & Bar,126 Main St.,Sag Harbor,NY,
Sen,23 Main St.,Sag Harbor,NY,
Wolffer Estate Vineyard,139 Sagg Rd.,Sagaponack,NY,Specialty matches for sale
Silver Cannabis Company,75 Weibel Ave.,Saratoga Springs,NY,Cannabis
Solevo Kitchen,55 Phila St.,Saratoga Springs,NY,
Deer Mountain Inn,790 Co. Rd. 25,Tannersville,NY,Running low
Nighthawks,461 Broadway,Troy,NY,
Candlestock,16 Mill Hill Rd.,Woodstock,NY,Candle shop
